,battery storage
0,-2.318437929162071
1,-2.216447061588619
2,-1.5520968976789762
3,-0.5234512015251714
4,1.0085719183101087
5,3.261498352247342
6,4.199853438296175
7,3.908867099192941
8,3.110098533275149
9,0.8192969809415835
10,-1.921912120631239
11,-3.4099156539124404
12,-5.380784031452234
13,-5.360651897440681
14,-3.037992346087968
15,0.0
16,0.4903444325234796
17,1.3060775930410555
18,1.4648440034568369
19,1.7941306870936238
20,1.5792706379118195
21,4.516920171231474e-12
22,-0.900765753300341
23,-1.5795666290979122
24,0.0
25,-0.07013367410156794
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,-5.212990039643257e-11
32,5.212816844851415e-11
33,0.0
34,-3.186957364679078e-11
35,-3.807894395340675
36,-2.076614723352269
37,-1.2293763866094558
38,0.0
39,0.0
40,1.0331635545971958
41,1.3611554791129787
42,1.5554953178337065
43,2.071417602751122
44,1.822165797917453
45,1.143723782281901
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,-5.6652016411419295e-12
52,0.5793911835308077
53,0.4496597903688748
54,3.5903008367443197
55,3.254625181080695
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.04056662504841135
64,0.5893488675854694
65,0.9311698446568641
66,1.0023127577985473
67,1.014992504383834
68,0.5328450112710534
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,-1.1799349388051645
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,1.9633578096664645e-11
129,0.0
130,0.0
131,-1.381054677549816
132,-0.08981943874889531
133,0.0
134,0.0
135,2.322321963947133
136,0.22160349734963347
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,-0.6703241869249172
156,-0.5578294483803626
157,-0.17704349640452754
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,-1.8568890608491013e-08
175,1.9334235960681914e-08
176,0.0
177,0.0
178,0.0
179,-2.292125606295822
180,-1.4609655085449968
181,-2.0719987160282693
182,-0.002181823819578388
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,-3.645809602203128
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,-3.645809602203128
196,-3.6458096021000514
197,-3.6458096022031268
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,-0.0506856155498383
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.56581947408242e-10
223,-9.225047392656183e-11
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,3.9496328707475117
232,4.470889585720009
233,4.470889585720009
234,4.470889585720009
235,3.5983166345992634
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,-0.12570150919616202
276,-1.928757952715367
277,-2.3148059667230587
278,-1.2643094965053228
279,1.0759103886348083
280,4.333766150648095
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,-0.40085433709571916
299,-2.573392913917378
300,-3.158115108601316
301,-2.3901010606073276
302,-0.16108432052280275
303,0.0
304,0.0
305,-1.077607054124042e-06
306,1.122022286474741e-06
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,-2.018914689546852
323,-3.36301127481042
324,-3.5912282225236645
325,-2.901195942346143
326,-1.303608474066924
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,4.470889585720008
343,1.4747523882908598
344,0.0
345,0.0
346,-0.30783184570025135
347,-1.2594273933889202
348,-1.9856310989988746
349,-2.071175974589418
350,-0.5871935839608824
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,4.470889585720009
367,4.470889585720009
368,0.03762591584470015
369,0.0
370,-1.6707299592081686
371,-3.2537863722659655
372,-2.351110045643191
373,-1.7451711111137609
374,-0.34897228583910217
375,0.0
376,5.215117218076657e-07
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,-0.019111496381221657
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,-0.02184034527605748
420,0.0
421,0.0
422,-0.0027312377227922484
423,3.9982716964430995
424,4.398606411586805
425,4.470889585720009
426,4.470889585720009
427,3.6438039241788838
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,-5.380784031307065
442,-5.380784031477503
443,-5.380784031452234
444,-2.0159121742244004
445,-0.32226926005072887
446,-3.3732377115905616
447,0.7693403342548972
448,3.3647708331363626
449,4.470889585720009
450,4.4708895857192275
451,3.3570963405430163
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,-4.308644555332888
466,-5.201758737488806
467,-5.380784031452234
468,-1.7007635335820748
469,-0.527896738196857
470,-0.0009104505066517277
471,2.2540647561267537
472,3.7563063591861017
473,1.5586213884383646
474,4.470889585721942
475,4.470889585720096
476,4.470889585720009
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,-5.380784031452234
490,-5.380784031452234
491,-5.380784031452234
