,battery storage
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.202084910347061
102,0.35448355397304354
103,0.35448355397304354
104,0.20676238410198877
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.35448355397304354
125,0.35448355397304354
126,0.35448355397304354
127,0.35448355397304354
128,0.09437679996596415
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.35448355397304354
137,0.35448355397304354
138,0.35448355397304354
139,0.35448355397304354
140,0.35448355397304354
141,0.0
142,0.0
143,0.0
144,0.0
145,0.15839101427797075
146,0.35448355397304354
147,0.35448355397304354
148,0.35448355397304354
149,0.35448355397304354
150,0.35448355397304354
151,0.35448355397304354
152,0.00975019606358174
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.35448355397304354
161,0.35448355397304354
162,0.35448355397304354
163,0.35448355397304354
164,0.35448355397304354
165,0.35448355397304354
166,0.35448355397304354
167,0.35448355397304354
168,0.35448355397304354
169,0.35448355397304354
170,0.35448355397304354
171,0.35448355397304354
172,0.35448355397304354
173,0.35448355397304354
174,0.35448355397304354
175,0.35448355397304354
176,0.24946571911574367
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.35448355397304354
185,0.35448355397304354
186,0.35448355397304354
187,0.35448355397304354
188,0.35448355397304354
189,0.35448355397304354
190,0.35448355397304354
191,0.35448355397304354
192,0.35448355397304354
193,0.35448355397304354
194,0.35448355397304354
195,0.35448355397304354
196,0.35448355397304354
197,0.35448355397304354
198,0.35448355397304354
199,0.35448355397304354
200,0.32695749467393753
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.35448355397304354
209,0.35448355397304354
210,0.35448355397304354
211,0.35448355397304354
212,0.35448355397304354
213,0.35448355397304354
214,0.35448355397304354
215,0.35448355397304354
216,0.35448355397304354
217,0.35448355397304354
218,0.35448355397304354
219,0.35448355397304354
220,0.35448355397304354
221,0.35448355397304354
222,0.35448355397304354
223,0.35448355397304354
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.35448355397304354
233,0.35448355397304354
234,0.35448355397304354
235,0.35448355397304354
236,0.35448355397304354
237,0.35448355397304354
238,0.35448355397304354
239,0.35448355397304354
240,0.35448355397304354
241,0.35448355397304354
242,0.35448355397304354
243,0.35448355397304354
244,0.35448355397304354
245,0.35448355397304354
246,0.35448355397304354
247,0.35448355397304354
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.35448355397304354
257,0.35448355397304354
258,0.35448355397304354
259,0.35448355397304354
260,0.35448355397304354
261,0.35448355397304354
262,0.07596537638349332
263,0.0
264,0.35448355397304354
265,0.35448355397304354
266,0.35448355397304354
267,0.35448355397304354
268,0.35448355397304354
269,0.35448355397304354
270,0.35448355397304354
271,0.35448355397304354
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.35448355397304354
281,0.35448355397304354
282,0.35448355397304354
283,0.35448355397304354
284,0.35448355397304354
285,0.35448355397304354
286,0.35448355397304354
287,0.35448355397304354
288,0.35448355397304354
289,0.35448355397304354
290,0.35448355397304354
291,0.35448355397304354
292,0.35448355397304354
293,0.35448355397304354
294,0.35448355397304354
295,0.35448355397304354
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.35448355397304354
306,0.35448355397304354
307,0.35448355397304354
308,0.35448355397304354
309,0.35448355397304354
310,0.35448355397304354
311,0.35448355397304354
312,0.35448355397304354
313,0.35448355397304354
314,0.35448355397304354
315,0.35448355397304354
316,0.35448355397304354
317,0.35448355397304354
318,0.35448355397304354
319,0.35448355397304354
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.35448355397304354
330,0.35448355397304354
331,0.35448355397304354
332,0.35448355397304354
333,0.35448355397304354
334,0.35448355397304354
335,0.35448355397304354
336,0.35448355397304354
337,0.35448355397304354
338,0.35448355397304354
339,0.35448355397304354
340,0.35448355397304354
341,0.35448355397304354
342,0.35448355397304354
343,0.35448355397304354
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.35448355397304354
354,0.35448355397304354
355,0.35448355397304354
356,0.35448355397304354
357,0.35448355397304354
358,0.35448355397304354
359,0.35448355397304354
360,0.35448355397304354
361,0.35448355397304354
362,0.35448355397304354
363,0.35448355397304354
364,0.35448355397304354
365,0.35448355397304354
366,0.35448355397304354
367,0.35448355397304354
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.35448355397304354
378,0.35448355397304354
379,0.35448355397304354
380,0.35448355397304354
381,0.35448355397304354
382,0.35448355397304354
383,0.35448355397304354
384,0.35448355397304354
385,0.35448355397304354
386,0.35448355397304354
387,0.35448355397304354
388,0.35448355397304354
389,0.35448355397304354
390,0.35448355397304354
391,0.35448355397304354
392,0.2232891499453622
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.2632091850549365
401,0.35448355397304354
402,0.35448355397304354
403,0.35448355397304354
404,0.35448355397304354
405,0.35448355397304354
406,0.35448355397304354
407,0.35448355397304354
408,0.35448355397304354
409,0.35448355397304354
410,0.35448355397304354
411,0.35448355397304354
